sentence,cultural_context,csi_category,csi_hall_mapping,hall_level
The <CSI> terraced houses </CSI> share walls in densely populated British neighborhoods.,Terraced houses represent efficient British urban residential design solutions.,Cultural Reference,Architecture,Visible
"When someone apologizes to me, I usually say <CSI> 'no worries' </CSI> or <CSI> 'it’s fine' </CSI> to put them at ease.","In English culture, saying 'no worries' or 'it's fine' when someone apologizes is a way of downplaying the apology, but in other cultures, formal acknowledgment of apologies may be expected.",Social Etiquette,Communication,Invisible
Let's grab a <CSI> coffee </CSI> and catch up sometime!,Casual social invitations like a coffee invitation are common in American culture.,Social Tradition,Food and Drink,Visible
He <CSI> shook hands formally </CSI> with new colleagues maintaining professional boundaries.,Formal handshakes maintain British professional distance with new contacts.,Social Tradition,Customs,Semi-visible
"He’s casually <CSI> dating </CSI> a few people, keeping things open until he finds someone he really connects with.","Dating culture emphasizes exploration and choice, reflecting broader values of individualism.",Cultural Reference,Action,Invisible
"As a <CSI> single mom </CSI>, she’s both the primary <CSI> breadwinner </CSI> and the main caregiver for her kids, juggling work and parenting.","As a single mom serving as both breadwinner and caregiver, single motherhood and economic necessity drive many Black women to take on dual roles in their families.",Cultural Reference,Structure,Invisible
"They moved to the USA inspired by the idea of the <CSI> 'land of opportunity' </CSI>, where hard work could lead to a better life.","The phrase 'land of opportunities' embodies the American Dream, symbolizing the belief that anyone can achieve success through effort and determination.",Cultural Reference,Individualism,Invisible
"He asked if the person preferred to be called <CSI> African-American </CSI> or black, as not all black individuals identify with the term 'African-American'.","The term 'African-American' refers to descendants of African slaves, but some black people prefer to identify simply as 'black' or by other ancestral terms.",Social Etiquette,Appropriacy,Semi-visible
"She learned that the <CSI> horse </CSI> symbolizes strength and nobility, often associated with warriors in European folklore.","Horses hold a special place in European culture, representing power, freedom, and heroism.",Cultural Reference,Thinking,Invisible
He’s a <CSI> history buff </CSI> who knows everything about the Civil War.,A history buff refers to someone with a strong interest in history.,Cultural Reference,Thinking,Invisible
They <CSI> rent a cabin in the mountains </CSI> every winter for skiing.,Mountain cabin rentals provide American families with winter vacation accommodations near ski resorts.,Social Tradition,Customs,Semi-visible
She <CSI> held the door open </CSI> for the person walking closely behind her at the café.,"Holding doors open for others is a common courtesy in American culture, reflecting politeness and consideration for others.",Social Etiquette,Action,Invisible
"While her European bank was secure and efficient, she often found the customer service <CSI> slow and impersonal </CSI>.","European banks prioritize security and stability, sometimes at the expense of personalized customer experiences.",Cultural Reference,Action,Invisible
He was careful to <CSI> chew quietly </CSI> and avoid <CSI> making noise </CSI> while eating.,Quiet chewing and avoiding eating noises reflect Western table manners standards.,Social Etiquette,Appropriacy,Semi-visible
The company promotes a <CSI> flat hierarchy </CSI> with minimal management layers.,Flat hierarchies minimize organizational levels emphasizing equality in American startup culture.,Workplace Culture,Workplace Customs,Semi-visible
They're throwing a <CSI> graduation party </CSI> in the backyard for their daughter.,Graduation parties celebrate academic achievements with family and friends in American culture.,Social Tradition,Rituals,Semi-visible
We're attending a <CSI> music festival </CSI> with camping and outdoor concerts next month.,Music festivals combine live performances with camping experiences in American entertainment culture.,Social Tradition,Rituals,Semi-visible
We're throwing a <CSI> cookout </CSI> in our <CSI> backyard </CSI> for the Fourth of July.,Backyard cookouts are a quintessential American summer tradition often held for holidays and gatherings.,Social Tradition,Food and Drink,Visible
The village held a <CSI> spring festival </CSI> with dancing around the maypole.,Spring festivals with maypole dancing celebrate European seasonal transitions and community.,Social Tradition,Rituals,Semi-visible
"At the <CSI> New Year’s ball </CSI>, guests wore <CSI> masks </CSI> and danced until midnight, following European tradition.",Masked balls are a festive and historic way to celebrate the New Year in Europe.,Social Tradition,Rituals,Semi-visible
Making <CSI> polite conversation </CSI> with service workers is common American practice.,Polite conversation with service workers reflects American egalitarian social interactions.,Social Etiquette,Styles of Discourse,Semi-visible
He gave a <CSI> farewell speech </CSI> at the end of his term.,Giving a farewell speech is a common practice for leaders in Western cultures when they are leaving a position.,Workplace Culture,Rituals,Semi-visible
He’s a <CSI> self-made </CSI> man who built his empire from scratch.,The self-made man ideal highlights the value placed on individual effort and success in American culture.,Workplace Culture,Competitiveness,Invisible
The little league team gets <CSI> participation trophies </CSI> regardless of their record.,Participation trophies given to all participants regardless of performance reflect certain American values about childhood competition and self-esteem.,Sports Tradition,Rituals,Semi-visible
"He always says that in America, <CSI> hard work </CSI> pays off, and he’s living proof of that.","The belief that hard work pays off reflects the American ethos of self-reliance, meritocracy, and the conviction that effort leads to success.",Cultural Value,Competitiveness,Invisible
The <CSI> Edinburgh Fringe </CSI> is the world's largest arts festival.,Edinburgh Fringe represents British theatrical and artistic cultural prominence.,Cultural Reference,Institutions,Visible
